dataset,old_run,seed,canonical,method,feat_src,head,c,src,bal,frac,wd,lr,n_epochs,batch_size,bn,unfreeze,restart,metadata_csv,pretrained,code_version,path
CUB,erm_50,111,e2e.erm__c-50__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,50,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_50/model_outputs_111
CUB,erm_50,222,e2e.erm__c-50__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,50,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_50/model_outputs_222
CUB,erm_50,333,e2e.erm__c-50__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,50,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_50/model_outputs_333
CUB,erm_625,111,e2e.erm__c-625__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,625,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_625/model_outputs_111
CUB,erm_625,222,e2e.erm__c-625__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,625,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_625/model_outputs_222
CUB,erm_625,333,e2e.erm__c-625__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,625,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_625/model_outputs_333
CUB,erm_75,111,e2e.erm__c-75__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,75,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_75/model_outputs_111
CUB,erm_75,222,e2e.erm__c-75__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,75,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_75/model_outputs_222
CUB,erm_75,333,e2e.erm__c-75__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,75,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_75/model_outputs_333
CUB,erm_875,111,e2e.erm__c-875__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,875,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_875/model_outputs_111
CUB,erm_875,222,e2e.erm__c-875__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,875,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_875/model_outputs_222
CUB,erm_875,333,e2e.erm__c-875__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,875,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_875/model_outputs_333
CUB,erm_95,111,e2e.erm__c-95__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,95,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_95/model_outputs_111
CUB,erm_95,222,e2e.erm__c-95__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,95,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_95/model_outputs_222
CUB,erm_95,333,e2e.erm__c-95__bal-none__frac-1.0__wd-0.0001__lr-0.001__ep-301,e2e.erm,,erm,95,,none,1.0,0.0001,0.001,301,64,n/a,,,metadata.csv,,pre-normalize,results/CUB/erm_95/model_outputs_333
